score,members,episodes,genre_count,prediction
8.62,1434000,12,2,0
8.33,1212532,13,3,0
6.91,1048119,12,2,0
7.56,1029417,13,5,0
8.37,1007306,13,1,0
7.07,968043,13,2,0
8.55,884472,12,1,0
7.32,866930,13,2,0
7.83,863011,24,3,0
7.85,800228,12,2,0
8.35,785268,12,2,0
8.2,715470,23,3,0
7.5,660539,11,3,0
7.82,655118,12,1,0
7.47,653525,12,3,0
8.05,598984,12,4,0
7.21,594676,11,4,0
7.51,576085,12,4,0
7.31,566903,13,2,0
8.53,556603,25,3,0
6.95,522043,13,3,0
6.92,513199,12,3,0
6.97,509668,12,2,0
7.41,493269,12,3,0
7.45,489830,12,3,0
8.17,482097,11,2,0
6.65,470206,24,4,3
7.57,468421,12,3,0
7.51,457942,11,1,0
7.56,436546,12,2,0
7.82,411565,13,3,0
7.34,390122,12,2,1
7.27,383750,13,4,1
7.34,378111,12,2,1
7.17,361667,13,1,2
8.13,356985,12,3,0
7.97,345172,12,1,0
6.7,331224,12,3,1
6.87,325619,12,2,1
6.52,319982,12,4,1
7.35,316498,12,3,1
7.81,307913,12,3,1
7.03,307097,13,4,1
6.8,277024,12,1,2
6.27,262541,12,2,1
8.14,258255,25,3,3
7.36,246920,12,2,1
6.97,240250,12,2,1
6.53,238928,12,4,1
8.08,237257,12,1,2
7.95,236104,12,2,1
5.53,216395,12,3,1
6.91,212141,12,2,1
7.09,203852,12,1,2
6.2,192708,13,3,1
8.43,187136,12,2,1
6.72,183611,12,1,2
7.23,179577,12,3,1
6.83,171663,13,2,1
5.75,154346,12,5,1
7.2,139577,12,1,2
7.24,137909,13,1,2
7.55,135718,12,1,2
6.87,126136,12,2,1
7.4,121049,12,4,1
5.4,107131,12,3,1
7.36,103831,12,1,2
6.49,101120,12,1,2
6.44,97787,13,3,1
6.88,94295,12,1,2
6.5,92551,12,2,1
7.34,89268,12,2,1
7.08,85331,12,3,1
7.48,83308,13,1,2
5.55,79881,12,2,2
5.83,76175,13,4,1
7.2,71924,12,2,1
3.82,70373,12,4,1
7.92,70040,12,1,2
7.44,69841,12,2,1
6.74,66433,12,1,2
5.4,66322,12,2,2
6.18,66256,12,3,1
6.81,66030,13,1,2
6.62,63406,12,1,2
7.23,61936,11,1,2
6.52,57074,13,2,1
7.46,55246,11,2,1
